Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:32:04.572,-0.34428406,5.51872396,8.12330723,0.02069682,14,-,-,-
16-Apr-2017 15:32:05.564,0.76700503,7.43473959,6.97369814,0.061032,13,-,-,-
16-Apr-2017 15:32:06.573,3.71766901,6.89825487,7.35690117,0.11467105,13,848.25,39.60784531,21.96078491
16-Apr-2017 15:32:07.561,2.8363018,6.13184881,7.08865929,0.01721716,15,843.75,39.60784531,21.56862831
16-Apr-2017 15:32:08.563,2.52973938,6.32345009,6.70545578,-0.00672346,15,846.75,39.2156868,21.56862831
16-Apr-2017 15:32:09.562,2.98958302,5.67200518,7.12697935,-0.00377172,16,892,38.4313736,20
16-Apr-2017 15:32:10.561,2.87462211,5.59536457,7.28026056,-0.00021255,17,832,38.82352829,21.96078491
16-Apr-2017 15:32:11.560,3.37278628,6.55337238,5.97736979,-0.01366693,13,966.25,38.03921509,17.25490189
16-Apr-2017 15:32:12.562,2.87462211,6.32345009,5.97736979,-0.04685384,12,1280.25,40.39215851,22.74509811
16-Apr-2017 15:32:13.573,3.67934871,7.08985662,6.39889336,0.06229466,12,1464,51.76470566,33.33333206
16-Apr-2017 15:32:14.562,1.83997381,7.2814579,6.5138545,0.03241497,12,1558.5,58.03921509,32.94117737
16-Apr-2017 15:32:15.570,2.41477847,5.51872396,6.70545578,-0.06215072,12,1558.5,58.03921509,32.94117737
16-Apr-2017 15:32:16.562,0.42212218,7.01321602,7.3185811,0.05316883,12,1558.5,58.03921509,32.94117737
16-Apr-2017 15:32:17.578,0.42212218,7.01321602,7.3185811,0.05316883,16,1487.5,63.52941132,32.94117737
Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:32:18.727,1.76333308,7.24313784,6.32225275,0.01539379,17,1550.75,63.52941132,36.07843018
16-Apr-2017 15:32:19.722,3.71766901,7.35809898,6.20729208,0.0709421,18,1554.5,63.52941132,36.07843018
16-Apr-2017 15:32:20.729,2.33813787,6.85993481,7.35690117,0.07171446,18,1296.75,65.88235474,39.60784149
16-Apr-2017 15:32:21.739,3.25782537,7.16649723,6.01569033,0.02894956,20,1292,68.23529816,39.2156868
16-Apr-2017 15:32:22.731,2.95126271,7.08985662,6.66713572,0.0556863,19,1264,67.84313965,40
16-Apr-2017 15:32:23.725,2.95126271,5.82528639,6.78209639,-0.02127308,23,1252.25,55.68627548,31.37254906
16-Apr-2017 15:32:24.723,3.6027081,6.13184881,6.74377632,0.0290359,21,1267,64.31372833,36.86274338
16-Apr-2017 15:32:25.722,3.83262992,5.9785676,7.28026056,0.0557254,21,1215.5,52.15686417,18.43137169
16-Apr-2017 15:32:26.723,3.79430962,6.01688766,7.97002602,0.10796481,21,1196,50.19607925,30.98039246
16-Apr-2017 15:32:27.724,2.68302059,6.59169245,6.4372139,-0.00279588,21,1239.75,59.60784531,36.86274338
16-Apr-2017 15:32:28.723,1.30348933,7.5880208,5.86240911,0.00544584,21,1296,63.92156982,35.68627548
16-Apr-2017 15:32:29.723,1.26516902,6.05520821,6.82041693,-0.04238248,23,1381.25,67.45098114,38.4313736
16-Apr-2017 15:32:30.724,2.10821605,5.173841,8.69811249,0.07280344,22,1411.5,65.09803772,38.82352829
16-Apr-2017 15:32:31.726,1.99325502,6.70665359,6.70545578,0.00686908,24,1450,65.49019623,38.4313736
16-Apr-2017 15:32:32.723,4.56071615,6.82161427,6.13065147,0.06314057,25,1462.5,64.31372833,37.25490189
16-Apr-2017 15:32:33.727,4.40743446,6.70665359,5.93904972,0.03672034,26,1309.25,69.01960754,41.17647171
16-Apr-2017 15:32:34.727,3.21950507,6.40009117,6.01569033,-0.02738738,25,1189,72.94117737,43.92156982
16-Apr-2017 15:32:35.727,4.13919258,5.51872396,7.43354177,0.02483398,24,1163.25,66.27451324,15.68627453
16-Apr-2017 15:32:36.726,3.41110659,5.59536457,7.70178413,0.04982871,24,1135,43.92156982,38.82352829
16-Apr-2017 15:32:37.723,3.75598931,6.28513002,6.09233093,-0.01004571,23,1507,61.96078491,35.29411697
16-Apr-2017 15:32:38.724,3.25782537,6.43841124,6.55217457,0.01254421,22,1533.5,62.74509811,36.07843018
16-Apr-2017 15:32:39.723,-0.1910028,7.16649723,6.9353776,0.03578883,22,1215.5,49.41176605,19.6078434
16-Apr-2017 15:32:40.724,0.65204406,7.5880208,7.08865929,0.07959491,22,1322.5,51.76470566,31.37254906
16-Apr-2017 15:32:41.726,-0.1910028,7.2814579,6.78209639,0.03352946,22,1380.25,54.90196228,30.19607925
16-Apr-2017 15:32:42.724,-0.26764342,6.89825487,7.70178413,0.07331938,24,1254.5,36.47058868,11.76470566
16-Apr-2017 15:32:43.724,0.11555969,6.66833305,7.62514353,0.05164963,24,1085.75,29.80392265,14.90196037
16-Apr-2017 15:32:44.724,0.80532533,7.01321602,7.39522171,0.06116623,24,1103,30.19607925,15.29411793
16-Apr-2017 15:32:45.726,0.03891907,6.20848942,7.93170595,0.04577631,24,1017.75,30.58823586,16.47058868
16-Apr-2017 15:32:46.724,-0.1526825,3.94759083,8.88971329,0.01064008,23,940.5,33.33333206,18.8235302
16-Apr-2017 15:32:47.729,0.9969269,3.67934871,9.69443989,0.08087438,20,877.25,36.07843018,20.3921566
16-Apr-2017 15:32:48.724,-0.34428406,6.36177063,8.69811249,0.11806494,16,839,38.03921509,21.56862831
16-Apr-2017 15:32:49.723,-0.07604187,4.67567682,8.58315086,0.01536745,14,919.5,39.2156868,20
16-Apr-2017 15:32:50.725,0.30716124,6.24680948,7.66346359,0.02732784,11,885.75,36.86274719,20
16-Apr-2017 15:32:51.725,0.69036436,5.94024706,8.31490898,0.06304806,8,1007.75,35.68627548,17.25490189
16-Apr-2017 15:32:52.723,-0.76580751,6.09352827,9.08131504,0.13653523,10,1159.25,32.15686417,15.68627453
16-Apr-2017 15:32:53.724,-1.53221369,5.55704403,7.97002602,0.02166504,12,1368.75,32.94117737,21.1764698
16-Apr-2017 15:32:54.726,-0.99572939,6.82161427,7.05033875,0.024167,13,1658.5,51.37255096,28.23529434
16-Apr-2017 15:32:55.735,0.34548157,5.78696585,8.0466671,0.0299601,15,1742.75,50.19607925,26.27450943
16-Apr-2017 15:32:56.723,1.76333308,5.67200518,7.0120182,-0.04423809,17,1448.25,56.47058868,28.62745094
16-Apr-2017 15:32:57.724,1.22684872,5.82528639,8.00834656,0.03618795,21,1345.25,55.68627548,23.52941132
16-Apr-2017 15:32:58.725,-0.1910028,5.59536457,8.19994831,0.0311237,23,1380.25,41.96078491,17.64705849
16-Apr-2017 15:32:59.726,-0.42092469,5.63368464,8.12330723,0.02762681,23,1427.25,38.03921509,19.2156868
16-Apr-2017 15:33:00.723,-0.88076842,5.9785676,8.08498764,0.0479359,25,1494.5,39.2156868,23.92156792
16-Apr-2017 15:33:01.727,0.42212218,5.86360645,8.08498764,0.03799623,25,1278.75,45.88235474,23.92156792
16-Apr-2017 15:33:02.725,0.26884094,6.32345009,7.8167448,0.04426223,26,1300,40.39215851,18.8235302
16-Apr-2017 15:33:03.722,0.95860654,6.36177063,7.77842474,0.04798084,27,1287.5,35.68627548,17.64705849
16-Apr-2017 15:33:04.726,1.99325502,6.24680948,7.05033875,0.00047171,27,1321.75,37.25490189,20.3921566
16-Apr-2017 15:33:05.729,0.9969269,6.43841124,7.35690117,0.02073842,28,1359.25,39.60784531,20.3921566
16-Apr-2017 15:33:06.727,0.95860654,6.09352827,8.16162777,0.06185967,30,1392.75,40.7843132,17.25490189
16-Apr-2017 15:33:07.728,0.46044251,5.63368464,8.16162777,0.0310151,31,1317,25.49019623,10.98039246
16-Apr-2017 15:33:08.728,0.42212218,6.43841124,7.62514353,0.03721613,30,1364.75,28.62745094,16.47058868
16-Apr-2017 15:33:09.731,1.72501278,5.48040342,8.16162777,0.03644282,30,1375.75,32.54901886,16.47058868
16-Apr-2017 15:33:10.728,0.76700503,5.21216106,8.46819019,0.03563827,30,1390.5,32.94117737,16.47058868
16-Apr-2017 15:33:11.729,0.57540345,5.51872396,8.31490898,0.03798622,32,1320.25,25.09803963,10.5882349
16-Apr-2017 15:33:12.729,0.42212218,6.05520821,8.19994831,0.05896956,30,1256.25,26.66666794,12.15686321
16-Apr-2017 15:33:13.731,1.57173157,6.85993481,6.85873699,0.02074009,31,1389.75,30.19607925,15.68627453
